slope,elev_5x5_rel,elev_5x5_std_dev,slope_5x5_std_dev,twi_10m,twi_100m,dd_s,dd_h,dd_v,label
89.99904,1.0589942,6.9054074,0.0007008602,9.825798,-1.4535441,35.287743,33.611053,8.34673,1
89.99644,1.6489941,2.2977593,0.0010696651,13.936063,-2.5766866,10.031147,9.978269,1.0286255,1
89.99582,0.48053712,1.7498978,0.0014608853,10.447288,0.26605314,13.827498,13.742155,1.5292147,1
89.93644,-0.023033448,0.101544805,0.0102052875,11.22493,-2.2838268,430.4598,430.44495,1.9038697,1
89.99278,-0.025898438,0.9063688,0.002177234,9.61194,-0.4793589,39.92668,39.810444,3.023993,1
89.99834,2.1972655e-05,4.3003616,0.0006763025,9.090665,-3.2694783,80.025154,75.76606,24.899591,1
89.981476,0.58091795,0.6694998,0.054132957,20.966455,-1.2308656,0.0,0.0,0.0,1
0.0,-1.1368684e-12,0.0,0.0,11.122796,5.2249155,225.45381,225.45381,0.0,1
89.994354,0.05003418,1.35393,0.0023042497,10.599207,-3.3142312,113.448746,112.98336,8.997681,1
89.99241,0.12810059,0.93265474,0.0021467232,11.181521,2.5551605,34.260067,34.210564,1.8212357,1
89.99745,0.24209473,2.1827776,0.0013791166,9.497393,-0.8546177,15.207515,14.865785,3.029663,1
89.99366,-0.0126220705,1.1428759,0.0009925073,10.983266,-4.4518957,211.21463,209.91301,22.56765,1
89.998856,-0.51438963,6.3584037,3.5896766e-05,9.06974,-5.036423,36.410038,32.690285,15.99639,1
89.998535,2.9689283,4.3987412,0.00024748157,13.507988,-2.6621974,0.0,0.0,0.0,1
89.9984,4.3440332,5.051911,0.0009288981,16.484043,-0.55814874,12.557351,12.431892,1.7706299,1
89.995186,2.4394484,5.878392,0.0008776762,16.468313,-1.7317106,0.0,0.0,0.0,1
89.983826,0.3423108,0.45357585,0.018740077,14.520868,15.284589,15.782328,15.781642,0.14711742,1
89.958015,0.093143314,0.15853219,0.017112205,19.905685,1.3381035,0.0,0.0,0.0,1
89.9972,0.31496093,2.4984276,0.00025313848,9.897211,-1.6152008,36.97297,36.425743,5.996882,1
89.964264,0.14198731,0.33855543,0.009663729,15.134262,1.8854065,22.285969,22.282913,0.34832764,1
89.99881,1.0965234,5.274743,0.00080867554,6.8241496,-3.6327708,17.24649,15.919358,6.593929,1
89.99779,-0.017490234,3.1765025,0.00014325525,9.991212,-3.7367735,200.57289,198.44104,27.01597,1
89.99728,0.12127441,3.973372,0.0005786477,11.137393,-4.8368177,39.987476,37.286476,14.395936,1
89.99757,0.4698999,2.7861671,0.00027535245,13.573142,-0.84972024,19.220594,18.887627,3.5388255,1
0.0,3.410605e-13,0.0,0.0,8.912867,5.97448,203.44205,203.44205,0.0,1
89.99812,-0.5306641,3.9006023,0.0003360627,9.0906,-3.3590615,56.71215,54.57561,14.315758,1
89.99847,-0.20311524,3.964791,0.0009594057,7.60696,-3.9226623,21.076801,19.956001,6.7106934,1
89.99287,1.4551855,2.165334,0.0026993905,11.458584,0.622466,11.768868,11.751509,0.6366142,1
89.90866,-0.005395508,0.07241212,0.15397632,14.597428,3.9057992,153.90417,153.89919,1.1057129,1
89.996254,0.0184375,1.8586357,0.0010870973,9.136979,-2.9862099,253.33727,251.66805,27.596783,1
89.99753,2.601372,4.2212358,0.0048031756,10.574103,1.2102984,12.152709,12.101754,1.1105034,1
89.998795,0.3104541,5.6097174,0.00024328081,11.803925,-4.5070314,0.0,0.0,0.0,1
89.96385,-0.024858398,0.17017525,0.013030269,10.704541,-2.446382,224.90334,224.85945,3.74954,1
89.96811,0.13047974,0.23546758,0.029018575,13.571095,2.6848557,7.4035697,7.402272,0.13861084,1
89.998795,3.6070118,5.551274,0.00053205504,13.825611,-2.9540234,8.263052,7.4260526,3.6237795,1
89.99777,-0.19987793,2.8325396,0.0005531789,8.160971,-3.4706173,228.27509,224.68588,38.697433,1
89.988594,0.0386084,0.67461514,0.002369443,13.268183,-3.1863334,329.4253,329.2441,9.869252,1
89.99579,0.24784179,1.9069301,0.00090593606,11.934209,-3.88008,269.93378,263.86893,52.022823,1
89.99321,0.048779298,1.0675914,0.0002744421,11.193971,-3.6962829,58.88319,58.677868,4.8381505,1
89.97353,0.21000732,0.33170336,0.005862366,19.526936,1.2451276,0.0,0.0,0.0,1
0.0,2.16005e-12,0.0,0.0,10.128408,4.378708,126.88856,126.88856,0.0,1
89.999176,2.1323853,5.9613957,0.0019332152,8.640578,-0.63466555,8.439446,7.4268293,4.008301,1
89.9971,2.9919481,3.3544247,0.0025538043,19.43877,-0.23963562,0.0,0.0,0.0,1
89.994354,0.4014331,1.1638653,0.0011505376,12.07855,-0.28583658,10.020862,9.97826,0.92303467,1
89.998116,1.4372046,3.0701296,0.0035232888,7.8714013,-1.3250823,10.780403,10.567042,2.1317177,1
89.99747,4.5840306,3.907277,0.0006123081,17.28538,-1.8150338,0.0,0.0,0.0,1
89.99342,1.4568921,1.7994205,0.005279683,23.710394,3.298833,0.0,0.0,0.0,1
89.99916,-0.28018066,8.478417,4.298106e-05,8.227733,-3.219204,85.29789,75.2167,39.740818,1
89.99672,0.06257813,2.2848938,0.00034828833,11.1293335,-3.1959488,28.547733,27.833944,6.200737,1
89.99475,0.65374756,1.100787,0.0025608533,11.834733,2.0179834,7.4507403,7.417124,0.7069702,1
89.998314,2.1560547,4.148627,0.0004791936,9.618578,-3.4459655,28.718033,27.686386,7.522142,1
89.99867,1.5228369,4.792491,0.0005556147,8.730047,-2.7251103,28.740767,27.75717,7.2863917,1
89.997795,1.4090893,3.4350655,0.00031594082,17.544153,-0.07802243,0.0,0.0,0.0,1
89.98684,0.21579713,0.514624,0.004962297,11.4946165,3.0229073,53.72406,53.69845,1.6346312,1
89.997154,2.4909425,4.0485277,0.0044949944,12.693198,0.33269587,33.662613,33.625328,1.5112305,1
89.988075,0.40587646,0.57518715,0.002953186,17.612612,1.0872023,7.4091926,7.4064865,0.20022584,1
89.99591,2.2226489,2.7422435,0.0017487535,11.446645,-3.806977,12.530535,12.438,1.5200195,1
89.997475,-0.13350587,2.9861016,0.00027645525,9.523433,-5.6781006,202.33641,198.21474,40.14281,1
89.99708,-0.10809082,2.3499246,0.0057405517,9.053948,1.5981773,22.022629,21.780437,3.1578445,1
89.99801,-0.765459,3.0866053,0.0017965515,8.103531,2.0771646,47.255672,46.48966,6.586432,1
89.976906,-0.04515869,0.31188294,0.0049950355,11.097006,-0.025847169,42.050045,42.03675,1.0465097,1
89.997696,1.1071045,3.013424,0.0008399026,11.105135,-3.0097153,89.831345,88.47511,14.876556,1
89.986946,0.0104504395,0.5459999,0.00046573725,12.214943,-0.9983818,64.12007,64.07234,2.4599285,1
89.96475,-0.0073425295,0.20803922,0.006895675,12.285942,-2.2420244,182.03012,182.00702,2.7489886,1
89.9923,0.4539795,1.0490164,0.0026876936,18.80137,2.3810358,13.698086,13.657333,1.0515404,1
0.0,-3.410605e-13,0.0,0.0,10.299166,5.524032,193.28514,193.28514,0.0,1
89.9914,-0.07940674,0.93338984,0.00270691,10.474697,-1.2494832,24.76854,24.668224,2.1530225,1
0.0,6.82121e-13,0.0,0.0,12.965607,2.3231509,163.34785,163.34785,0.0,1
89.998146,1.0844507,3.3240457,0.0010446472,8.69842,-1.2696801,15.25959,14.818406,3.5496829,1
89.99899,-0.09913086,6.4599457,0.00027592684,8.62505,-4.8501134,109.650246,104.37656,31.87173,1
89.997574,-0.05934082,3.0201674,0.00027261165,10.143157,-2.2307053,125.41543,124.026764,16.05371,1
89.966286,0.033841554,0.2766567,0.004094406,18.035007,1.324122,27.782274,27.77612,0.55893403,1
0.0,-2.2737368e-12,0.0,0.0,12.345272,-0.7504655,301.97134,301.97134,0.0,1
0.0,-1.5916157e-12,0.0,0.0,14.009933,6.3971305,110.19599,110.19599,0.0,1
89.998055,0.2471167,3.7734869,0.00015858866,12.4921875,-4.971569,221.17291,217.14229,39.72433,1
89.9976,1.586372,3.079839,0.0007068344,13.771457,-1.8250637,12.664402,12.438896,2.3792725,1
